id,rate,score,title,neighborhood,price,zip
eOCVoXsOEnbr9c89RD0UEQ,4,84,italian,Haight Ashbury,$$,94117
DlLsw9bJMJ-YdnrUp2G7mw,4,81,american,Mission,$$,94110
uAVg1yq5kb3Ia2Ve5_K5HQ,4.5,87,american,Mission,$,94110
QjnmVuqVArA7d-syiUCiUw,4,88,american,Mission,$,94110
F7cpHf8ovSaZhQSTRQAVkw,4,74,italian,Chinatown,$,94111
7tGDE-dZMXCraDNQYRwKow,2.5,90,italian,Tenderloin,$,94109
GnReX_ZUNEL39c7AiWhGjA,3.5,89,american,Castro/Upper Market,$$,94114
LOnMdHbYlpkRy0T2lf28fw,3.5,96,american,Presidio Heights,$,94115
9MuV8P0WwlWPidYY2eC8Vg,4,69,chinese,Tenderloin,$,94102
VNwBoUcgy5FbiurWXgtDHg,3,88,chinese,Nob Hill,$,94109
Cj9Orl6DQnOR75qT-l3jCA,4,77,viet,Russian Hill,$$,94109
L1CQQFWSP9AbGtcGIyfptg,2.5,94,viet,Lakeshore,undefined,94132
uZybAaC88oLnqR1FEUamGQ,4,90,viet,Noe Valley,$$,94131
RW6XYLXNxLHZFQKc4bczlw,3.5,81,viet,Mission,$,94103
3236WheGABGCs6hdshWnjA,3.5,76,latin,Haight Ashbury,$,94117
DpZYSh3CLj2A1B5jCVXvfw,4,100,japanese,Lone Mountain/USF,$$,94118
BLcV0Z4nzKLkCjneKrTclA,4,92,japanese,Inner Richmond,$$$,94118
w83ZWz4tEBTIct6l8GS7TQ,4,100,japanese,Presidio Heights,$$,94118
PzbzvmEnn7cs7WmbmlD7ew,3,90,latin,Presidio Heights,$,94118
ZX5XUU9z1nmoUyiuPtjSLg,4,77,thai,Inner Richmond,$$,94118
LbafZvZKbs1G1_RhkJJUxA,4,72,latin,Tenderloin,$,94102
l_wjG88ec7v-FHTyp-k4cQ,3.5,91,latin,Mission Bay,$,94103
D1-_5ff4aic1-7rLqzUd4g,3.5,74,chinese,Mission,$,94110
cac6q5C271Yve86zQl5ScQ,3.5,90,viet,Sunset/Parkside,$,94116
BORik_MbIabFgzdFRVLDvQ,4.5,87,viet,Mission,$,94110
2ocTtBOx-1TghQrBxFjORg,3.5,78,viet,Mission,$,94110
l4IwXobNj4dVxz2eGP6hPw,2.5,100,viet,Castro/Upper Market,$$$,94114
6dpogM9AfMtNcXswIDJ1sg,4,88,viet,Haight Ashbury,$$,94117
RyMG16yT-rON-uscR3QFwg,4,94,viet,Haight Ashbury,$,94117
C36BK5luxi-8apVMMhsizQ,3.5,98,viet,Financial District/South Beach,$,94105
AA1wdUC-d3XyHp_6G2dD_w,4,83,american,Castro/Upper Market,$$,94104
6BMxNLbCSQIe72nYGiJBXA,3.5,85,american,Castro/Upper Market,$$,94114
o9KZAEgORSys5J4oqiGtEg,4,83,latin,Mission,$,94112
9kqooKOcH_o-KuumqAGIpQ,3.5,74,japanese,Mission,$$,94110
Yoi7EGQTub3lWg-x6ubJEQ,3,80,latin,Outer Richmond,$,94121
kM64kcWiK3TqhB0HeAUGeg,4.5,94,latin,Marina,$,94123
uXfKnbkDgtIPKw48MeQdKA,4,87,latin,Noe Valley,$$,94114
d77g3hmKBhcksWR4LKGS_w,4,85,latin,Bernal Heights,$$,94110
c22FFlw_mGsT1TcgZpOo8w,4.5,80,latin,Glen Park,$$,94131
2hR4tWOCcz88HFYB4U3FkA,4.5,100,latin,Castro/Upper Market,$,94114
Di4kb-1tnjP5OKFuV8qbUA,4,81,viet,Nob Hill,$,94109
UyA7m3aI7SB0hWdMzlwGWQ,3.5,92,viet,Haight Ashbury,$$,94117
AMo18ayQeXDlEaeYG_GGKA,4.5,100,viet,Tenderloin,undefined,94102
EB5Luwg0aGXORbJjIY6syg,2.5,86,latin,Castro/Upper Market,$,94114
OzFb5aZuA3RGV_YZlxorNg,4,92,japanese,Castro/Upper Market,$$,94114
RbTr1hKjgkte-wiUXKSrCQ,3,94,chinese,Mission,$,94110
Irzn8SThab39vigvKXjMzA,4,87,latin,Excelsior,$,94112
p2UxlDCm7aIP9jpK6g1e5A,4,81,latin,Mission,$$,94110
_zu83bXlHo-76rawc_E8gw,3.5,92,latin,Glen Park,$,94131
A9QDUzIGMcybhLhtPDSN4A,4,87,italian,Outer Richmond,$$,94121
dPR81xmmtcTx126HMZlaKQ,3.5,85,american,Hayes Valley,$$,94102
yxfq9eICLD5M4Sw5Fddc0A,3.5,88,american,Inner Sunset,$,94122
Ew12TaYkYC3bkUiJ36gdLg,4,96,american,Mission,$,94110
A2lE5KbHZrbkke-_XNjKRw,3,100,american,Outer Richmond,$,94121
hPz83m43JzMUzgAoE3SgzA,3.5,71,chinese,Outer Mission,$,94112
KiQuvELzKiHx5qg3RWaoxg,3.5,85,japanese,Japantown,$$,94115
2sNnba1Y2-oVZHwhp0vEcg,3.5,92,japanese,Noe Valley,$,94114
T1BuzZTXl9fjT31wbG1GuA,3.5,94,japanese,Russian Hill,$,94133
USbpXRK2pFey0V24QcgXsQ,4,100,japanese,Pacific Heights,$$$$,94115
aB_jimByFRPpde3LC13ucw,4,87,american,Outer Richmond,$,94121
6zXVo_uK_GVqN3Z0t5KFHQ,3.5,90,american,Hayes Valley,$$,94117
eEcYruNImvfVGPZ8RmjBBw,4,100,american,Financial District/South Beach,$,94103
4YQg81cDjn2Ei7NYvRHXpA,3.5,85,french,Pacific Heights,$$,94115
OFqs9YvnjG-ic7TUEAscMQ,3,98,french,South of Market,$,94107
CvmIfaftFA4bp0HBnwQ_bw,3.5,88,italian,Chinatown,$$,94133
imNRDs0iUHjsxaWOvIGwNg,3.5,87,japanese,Mission,$$,94103
Oso0WyQvRWlgTq4GFvr5Sg,3,89,italian,Tenderloin,$$,94102
gFcSLTJo3HXdkXScg0FgcA,4,100,french,Nob Hill,$$$,94108
MDTJK0mH5Xc14aCwNuMg7Q,4,94,italian,Nob Hill,$$,94108
KK2_oX8TbDd4BOa0Nunn2w,3.5,79,chinese,North Beach,$,94133
ld0mW_4EUFVK-izi5mD3GA,3.5,87,chinese,Japantown,$$,94115
8O2Z292anffuimm9OXkbUA,4,90,chinese,Russian Hill,$,94133
FsJymPpKKM2mtzMDpSVxiA,3.5,86,chinese,Financial District/South Beach,undefined,94111
uxsyxN9uJZoZ5jobVBM3sg,4,79,chinese,Financial District/South Beach,$,94104
b3mmxh_9aw25vkMmujG9jQ,3.5,87,chinese,Mission,$$,94110
lbhoHNWZVSQxPqkA2AgknQ,3.5,73,chinese,Chinatown,$,94108
gqVl3RprESEqkIPeJH0yOg,4,92,french,Haight Ashbury,$$,94117
8me3E8m_LxwSuf_BZKNqjQ,4,85,french,Nob Hill,$,94109
E57pVQIALaavqxkbobVRow,3,92,french,Excelsior,$,94112
#NAME?,3,72,chinese,Noe Valley,$,94114
HCTOtXfbGDTcYsnE_gl35Q,3.5,85,american,South of Market,$$,94107
MKGPb57KYoj11x0t7r5HGw,4,69,chinese,Inner Richmond,$,94118
ENOSkB2B8NZNxOtNFmFAZg,4,90,american,Mission,$,94110
0COxcLD-42ecMqBYyoUfyQ,4,92,italian,Noe Valley,$$,94114
P8zfrRHemETl3gYFY5FFNA,4.5,96,italian,Bernal Heights,$,94110
bENuHq5nDdvSEDsIxSBnQA,4,91,american,Haight Ashbury,$$,94117
PpJP04qfX_UxhFCwt0lwzA,3.5,77,american,Noe Valley,$,94131
k-7RjwprL6YYERds-SXZEQ,3,96,chinese,South of Market,$,94103
oqJgvaszapDJ5HMdG9Q2Lw,3,98,chinese,Bernal Heights,$$,94124
uGzVk45wG2tOjNUzTfH9_g,4,86,chinese,Financial District/South Beach,$,94105
rQ0IS-WDra4BuF0qQkVQKQ,4,79,chinese,Financial District/South Beach,undefined,94105
HlNLTbcVHi2oltuPOA2kyw,3.5,96,chinese,South of Market,$$,94103
_GpF4tW9aXkSpAPhXpLJZQ,4,88,latin,South of Market,$$,94107
IaDXv2ZNo2HUeTatlsjMsw,3.5,96,viet,Chinatown,$$,94111
mZcxUJOnsKKhEiDaiAfyHg,3.5,81,french,Financial District/South Beach,$$,94104
iRittrE0Pld2u3Vq_lxC_Q,4,96,french,Lone Mountain/USF,$,94118
6y26VcGgSuiJrcXk6YKXyw,4,92,thai,Sunset/Parkside,$,94122
_MB9ozh0K7trfu9y8aCk3A,3,91,thai,Financial District/South Beach,$$,94108
vckDXQCcqHDwgOhBpzH2qg,3.5,96,american,Sunset/Parkside,$$,94122
KNjay-slya3gi7rw13ifOQ,3.5,83,japanese,Pacific Heights,$$,94115
wnGWyRbY0--cBaL_LL1ZwA,3,92,japanese,Excelsior,$,94112
JoH_yAdSZRSqh-QvpDjxfw,4,91,latin,Mission,$,94110
bGI_oq-DVPo2bWJZxDf9gw,4,87,thai,Tenderloin,$,94109
vsNXAscvm-FIU423Cy874w,3.5,90,thai,Tenderloin,$$,94102
DsIw4CpBUpZ1gHzH0VrbSg,2.5,83,thai,Tenderloin,$$,94102
xZIar7Wc8YCUiAz7S_0Gdg,3.5,94,italian,Pacific Heights,$$$,94115
_sl4NUAHcrqU-F9x25kBQw,3.5,94,american,Pacific Heights,$$,94115
HWWXRD3KWJRB-WBuXX9RKQ,4,90,italian,Marina,$$$,94123
z93mjnqenYRyeoWqOJXlrA,4,87,italian,Bayview Hunters Point,undefined,94134
M0xEpdbcmF6iEG7LSST_lQ,4,86,italian,Outer Richmond,$,94121
aQuwkkUS_S52ga0PxiOIag,4,98,italian,Mission,$,94110
Ce3GMfMd8Or4Uwn5I7GOuQ,3.5,80,italian,Excelsior,$,94112
OM8v0GDGzdIhcJODUDCv2Q,4,85,latin,Mission,$,94110
U4W2psx3vypnyP_c6CzZdA,2,98,latin,South of Market,undefined,94103
JU3t0Bae1G4p4NVM0sS0Xg,4,84,italian,Excelsior,$$,94112
#NAME?,4,92,italian,Bernal Heights,$$,94110
aQZfzVaKO7vVg4FqnOMtNA,3.5,90,italian,Nob Hill,$$,94102
yNMCITEPGh6cgqd6VDfQOg,4,82,italian,Nob Hill,$$,94108
nCu5bwtvVr04_KvuVGJxBw,4,80,japanese,Chinatown,$$,94133
9GDwCGORwtpgiQJs3K72JA,3.5,87,japanese,Financial District/South Beach,$$$,94104
P1P-ByAIL4OlqlBTzrVlhg,3,90,japanese,Financial District/South Beach,$$,94108
plIGvvIOAKiuCQybfnzSsQ,3.5,75,american,Chinatown,$$,94133
KRpCCCBwaJBGrkBCVUhW7g,3.5,77,french,Financial District/South Beach,$$,94104
mnpBIXtI8f1_My6v7sXfYA,3.5,78,chinese,Chinatown,$,94133
3XyCChhZ6NFnrhaziajVWA,4.5,92,chinese,North Beach,$$,94133
RAO5L5XSbZtg2oIGOftN2Q,3,92,chinese,Financial District/South Beach,$,94111
gg--F2Z-X2Qh1fkkm1ODHA,4,86,american,North Beach,$$,94133
D0S0urMr-WbYCpj4MX0kyA,4,87,american,Financial District/South Beach,$,94104
1J9JWlQJCQZ4SdPXRxxdRQ,3.5,85,american,Financial District/South Beach,$,94104
X92ZYvxWrmmEjAMKgiyN3g,4,94,american,Financial District/South Beach,$,94104
deDtn5INFHv8FNYty03hLQ,3.5,74,italian,Financial District/South Beach,$$,94104
rBwaN3XeaCQGUH1RLgo0tQ,2.5,89,chinese,Lakeshore,$,94132
ogif-GNQYoVNsc9mqI378w,4,90,viet,Inner Richmond,$,94118
qkArHlJuZHD4Cqe98yCnFQ,3.5,85,viet,Outer Richmond,$,94121
giVuQ_GwW5m0Fx6Ffu6dRQ,3.5,90,viet,Inner Richmond,$$,94118
vfK7_QDzzQfzaXf4zOz0fA,3.5,83,japanese,Sunset/Parkside,$$,94116
J9UyFeAMsZhqCFNxSFNNkw,4,76,japanese,Inner Richmond,$,94118
e02eHaL0toY64Tzodnx8_Q,4,88,medi,Sunset/Parkside,$,94122
KCVZ0Z5GQgQxduizQ91O1Q,4,86,chinese,Inner Sunset,$$,94122
ZJeACgKeEPuk3v0UiR9Y_Q,3.5,87,chinese,Inner Richmond,$$,94118
vogO7OMasID3sa8_k9RmpA,4,89,american,Inner Sunset,$,94122
jhVo92kIQSPFQTzBaIhP6w,4,90,american,West of Twin Peaks,$$,94127
NE5F0rMk0uw0gHlE4Kw3AA,3.5,94,korean,Sunset/Parkside,undefined,94116
2q1Trf5erXkY6hWyH9tOCw,4,90,chinese,Sunset/Parkside,$,94122
2KpVYd8WcRj11xEpryOL6Q,3,77,chinese,Outer Richmond,$$$,94121
Ye6oSvS6dhNSeK9UjurU_g,3.5,88,japanese,Sunset/Parkside,$$,94122
VxT3LXwPdHEz1qpXeI5hig,3.5,88,japanese,Outer Richmond,$,94121
eYXwVR4mMAjzkJnm5wneHQ,4,91,japanese,Inner Richmond,$$,94118
